group,concentration,cultivar,stem_volume,stem_nodes,length,bush,flowering_day,SPAD,T_N,PO,KO,CaO,MgO,fresh_weight,dry_weight,weight_difference,vase_life,petals,petal_size,L_1,a_1,b_1,L_6,a_6,b_6,L_9,a_9,b_9,L_11,a_11,b_11,L_14,a_14,b_14
NSV,0.5,KP,4.87,9,70.5,3,65,114.2,0.95,1.39,2.7,0.24,0.55,3.72,1.29,2.43,10,15,45.68,77.22,9.42,2.61,83.33,7.53,2.53,83.25,4.57,3.6,77.66,8.54,7.6,79.05,7.74,8.57
NSV,0.5,KP,4.05,7,48.5,3,68,100.5,0.97,1.38,2.73,0.31,0.67,3.45,1.19,2.26,12,13,49.68,80.17,10.22,3.24,84.19,8.76,2.34,84.85,4.75,4.17,84.71,5.54,5.68,85.89,4.85,6.34
NSV,0.5,KP,4.82,8,58,3,68,94.7,0.94,1.37,2.69,0.24,0.55,3.34,1.36,1.98,6,15,53.11,77.51,8.28,2.23,78.94,9.39,2.25,77.66,8.54,7.6,73.4,8.1,4.23,76.74,7.33,5.56
NSV,0.5,KP,4.54,8,59,4,65,97.2,0.95,1.39,2.69,0.24,0.55,3.77,1.18,2.59,5,12,55.45,86.43,6.2,4.17,84.73,2.9,8.48,83.41,8.69,3.69,83.87,5.02,9.5,84.78,4.52,10.46
NSV,0.5,KP,4.49,8,56,5,75,80.9,0.97,1.39,2.69,0.24,0.55,4.11,1.07,3.04,6,12,56.35,85.77,7.81,4.16,86.03,4.82,5.17,84.81,6.79,4.22,73.41,1.87,13.31,74.82,1.55,14.36
NSV,0.5,KP,4.61,8,64,3,65,108.1,0.95,1.39,2.69,0.24,0.55,3.88,1.6,2.28,6,13,55.77,76.97,1.37,4.05,86.71,3.01,6.73,84.36,6.39,4.84,79.85,2.61,10.6,80.93,2.19,11.49
NSV,0,BP,3.72,6,47.5,3,56,128.9,1.15,1.71,2.77,0.36,0.89,2.99,1.02,1.97,9,11,46.22,78.52,5.91,-3.6,85.81,0.38,2.07,84.48,0.74,2.36,85.28,-0.08,7.74,83.54,0.05,5.01
NSV,0,BP,3.59,6,61.5,2,56,113.8,1.16,1.72,2.78,0.42,1,2.35,1.08,1.27,7,10,42.4,70.08,-0.08,1.89,89.81,0.22,2.63,88.36,0.88,2.58,41.17,25.22,-22.18,39.76,23.92,-24.03
NSV,0,BP,4.88,7,67,4,59,122.9,1.17,1.73,2.78,0.36,0.89,2.84,1.29,1.55,9,15,43.1,76.76,0.77,3.65,86.66,4.68,-0.91,84.73,4.33,0.88,32.53,32.01,-27.89,30.19,30.66,-28.53
NSV,0,BP,4.2,6,62.5,2,59,72.3,1.16,1.72,2.78,0.43,1.01,3.01,1.1,1.91,7,11,43.85,71.65,7.71,-4.76,89.26,-0.75,6.64,87.76,0.29,5.66,85.9,0.28,10.65,83.91,0.07,8.7
NSV,0,BP,3.59,6,45,4,61,104.5,1.15,1.71,2.77,0.36,1.04,3.05,0.91,2.14,7,12,47.97,58.35,10.12,-7.71,90.86,-0.56,4.16,89.88,0.81,3.42,73.77,2.21,7.51,71.23,1.96,6.29
NSV,0,BP,3.77,6,46.5,3,72,134,1.17,1.7,2.74,0.36,0.89,2.12,0.81,1.31,12,10,43.48,89.7,-0.35,2.43,89.33,-0.52,3.4,88.58,1.05,2.93,89.06,0.1,2.95,87.3,0.02,1.8
NSV,0.1,BP,5.04,6,61,4,68,138.6,1.36,0.7,2.74,0.33,0.83,3.72,1.24,2.48,12,18,39.35,33.97,24.91,-20.21,56.42,16.54,-8.46,63.99,15.55,-8.69,62.78,9.21,-6.57,61.95,8.05,-7.35
NSV,0.1,BP,4.08,6,46.5,3,68,120.6,1.35,0.72,2.75,0.38,0.92,3.78,1,2.78,10,16,41.19,62.84,14.08,-12.65,86.69,-0.27,2.74,84.7,0.25,3.04,45.24,14.87,-13.92,43.69,14.12,-15.16
NSV,0.1,BP,3.7,6,50,3,65,122.6,1.34,0.69,2.72,0.33,0.87,3.47,1.23,2.24,8,10,40.98,74.06,-0.71,2.1,88.64,1.14,2.23,87.02,1.14,2.91,41.23,10.19,9.46,39.28,8.96,8.29
NSV,0.1,BP,4.32,7,23,3,68,108.9,1.35,0.72,2.75,0.38,0.92,2.77,0.77,2,7,13,40.02,40.01,31.72,-25.57,69.13,13.62,-11.97,74.35,2.59,7.72,63.72,7.26,-2.79,62.48,6.67,-4.09
NSV,0.1,BP,4.74,6,49,4,65,138.7,1.36,0.7,2.74,0.38,0.92,4.28,1.1,3.18,10,19,42.09,73.42,0.99,1.74,85.87,2.02,0.33,83.37,2.27,1.22,32.32,27.82,-22.45,30.53,25.38,-23.67
NSV,0.1,BP,4.28,6,45.5,4,65,109.7,1.34,0.69,2.72,0.33,0.83,2.99,1.18,1.81,10,13,41.42,86.81,-0.47,3.28,89.18,-0.47,4.25,87.66,-0.71,4.14,84.04,-0.08,4.7,81.92,0.06,3.5
NSV,0.3,BP,4.58,7,55.5,4,64,140.2,1,0.65,2.6,0.27,0.77,2.88,0.84,2.04,11,10,45.94,72.54,5.07,-2.45,83.39,0.68,1.2,82.04,0.66,1.16,86.96,1.52,2.57,85.32,1.18,1.45
NSV,0.3,BP,4.01,6,53.5,2,64,146.4,1.05,0.66,2.61,0.32,0.85,3.94,0.77,3.17,7,15,47.01,73.4,4.82,-2.29,87.73,-0.37,4.83,88.47,-0.52,4.22,66.09,-0.48,23.17,64.6,0.23,21.36
NSV,0.3,BP,3.33,5,40,2,65,118.7,1.03,0.66,2.59,0.26,0.77,2.73,0.79,1.94,11,11,41.83,52.39,21.36,-18.44,71.35,11.91,-9.15,73.51,11.85,-8.21,41.24,23.42,-21.06,40.02,22.18,-23.35
NSV,0.3,BP,4.19,6,62.5,2,65,134.6,1.05,0.66,2.61,0.32,0.85,2.75,0.88,1.87,16,10,47.2,84.75,1.66,0.19,85.54,3.04,1.18,86.48,2.43,1.26,83.07,1.98,0.51,80.28,1.5,0.11
NSV,0.3,BP,4.46,7,58.5,2,65,144.9,1.03,0.65,2.63,0.33,0.85,4.84,1.57,3.27,16,16,48.42,63.84,13.7,-10.29,83.34,2.22,-0.5,84.36,2.65,-0.29,62.47,9.27,-5.76,61.05,8.68,-6.4
NSV,0.3,BP,4.92,7,53,3,59,116.3,1.03,0.66,2.59,0.27,0.77,2.65,0.99,1.66,16,10,44.13,79.88,6.89,-4.47,86.61,0.41,1.62,88.48,0.57,1.69,74.96,0.6,2.82,73.82,0.42,1.81
NSV,0.5,BP,3.93,6,48.5,3,56,136.9,1.27,0.62,2.42,0.28,0.75,2.93,0.71,2.22,8,10,38.83,70.8,10.66,-9.01,88.02,0.02,2.16,89.11,0.06,2.92,43.05,19.29,-18.89,41.86,18.64,-17.34
NSV,0.5,BP,4.94,6,52,4,65,131.6,1.26,0.63,2.43,0.34,0.84,2.32,0.95,1.37,8,10,43.33,78.41,5.61,-3.12,91.57,-0.85,4.8,91.96,-0.83,4.48,70.71,2.78,2.82,69.75,1.76,1.43
NSV,0.5,BP,4.05,6,50.5,2,75,133.6,1.28,0.64,2.41,0.28,0.76,3.89,0.76,3.13,8,10,49.96,45.23,29.85,-25.56,91.35,1.02,3.06,91.76,1.44,2.85,42.6,17.85,-9.35,41.46,16.65,-9.65
NSV,0.5,BP,3.92,6,60,3,59,135.5,1.26,0.63,2.43,0.34,0.84,2.91,0.95,1.96,10,15,46.05,69.8,6.91,-4.75,77.73,2.57,-1.06,82.77,2.77,-1.04,74.04,6.98,-1.8,72.67,6.35,-2.63
NSV,0.5,BP,4.4,7,50.5,3,77,139.5,1.27,0.62,2.42,0.34,0.84,3.02,1.67,1.35,10,16,42.16,88.4,0.33,2.54,87.61,0.18,1.84,88.84,0.35,1.85,77.12,4.8,0.1,74.73,4.15,0.01
NSV,0.5,BP,4.46,7,52,3,79,140.4,1.24,0.64,2.44,0.28,0.75,2.77,1.19,1.58,12,10,43.99,88.4,0.33,2.54,89.85,0.25,2.55,91.14,0.5,2.35,49.24,14.28,-14.46,47.72,13.46,-15.55
NSV,0,KW,4.09,7,52,3,65,117.4,1.51,0.77,2.36,0.21,0.51,3.67,1.42,2.25,8,10,48.66,86.63,-0.83,2.38,91.44,-1.23,4.45,90.86,-1.29,4.36,90.7,-0.37,9.54,89.38,-1.04,9.95
NSV,0,KW,3.51,7,61.5,2,65,130,1.53,0.79,2.35,0.27,0.61,3.92,1.52,2.4,5,15,54.56,91.31,-0.57,3.36,91.97,-1.27,5.23,91.29,-1.35,6.04,80.74,1,10.69,79.06,0.43,12.02
NSV,0,KW,4.38,8,61,4,59,122.2,1.49,0.77,2.35,0.21,0.51,3.57,0.66,2.91,8,11,52.01,91.06,-0.54,2.6,89.89,-0.19,2.68,90.93,-0.27,3.26,89.51,-0.74,9.31,87.37,-1.33,10.74
NSV,0,KW,3.38,8,55,3,65,143.6,1.47,0.78,2.35,0.21,0.51,4.35,1.42,2.93,6,15,45.81,89.04,-0.71,3.12,90.9,-0.88,4.61,91.92,-0.99,5.2,89.85,0.95,8.09,88.52,0.05,9.5
NSV,0,KW,3.87,7,59,3,65,117.3,1.54,0.74,2.33,0.27,0.56,4.73,0.62,4.11,11,15,49.88,90.63,-0.73,3.4,89.47,-0.66,2.79,91.39,-0.91,3.77,88.58,-1.11,6.58,87.09,-2.28,7.53
NSV,0,KW,4,7,57.5,3,62,129.8,1.47,0.78,2.35,0.21,0.51,4.19,0.84,3.35,8,15,41.63,89.9,-0.76,3.72,91.52,-0.82,3.64,93.07,-0.91,3.95,81.9,0.34,10.44,81.15,0.11,11.61
NSV,0.1,KW,4.17,7,61,2,59,153.7,1.54,0.58,2.3,0.18,0.44,3.38,1.9,1.48,6,15,45.7,73.96,-1.12,3.83,84.26,-0.93,3.11,85.34,-1.1,3.45,89.02,-0.1,10.03,86.97,-1.72,11.12
NSV,0.1,KW,3.71,7,58,3,61,139.7,1.54,0.56,2.29,0.17,0.44,3.86,1.49,2.37,8,10,45.56,67.79,-1.65,3.83,84.86,-0.5,7.6,86.47,-0.78,7.91,78.7,1.22,17.73,76.69,0.66,18.47
NSV,0.1,KW,3.8,7,59,2,62,163.9,1.54,0.56,2.29,0.17,0.44,3.58,1.24,2.34,5,12,48.17,86.66,-3.13,8.18,87.27,-2.14,7.32,89.14,-2.92,7.89,87.16,-0.42,13.09,84.99,-0.83,14.56
NSV,0.1,KW,3.87,8,58,3,65,150.3,1.54,0.56,2.29,0.17,0.44,3.89,1.22,2.67,6,15,48.15,89.57,-0.42,2.65,86.25,-0.61,2.69,87.08,-0.65,3.49,83.8,-0.03,8.83,81.75,-0.82,11.26
NSV,0.1,KW,5.03,7,63.5,3,65,145.3,1.51,0.57,2.32,0.22,0.52,4,1.23,2.77,8,10,46.85,85.56,-1.18,4.21,84.27,-1.21,4.91,86.11,-1.64,5.71,84.29,-0.28,13.77,82.95,-1.48,14.96
